"file","transition_all","infinite","linear_infinite","inline_animation_style","keyframes","will_change","backdrop_blur","low_contrast_30_40","unknown_color_tokens","risk_score"
"frontend/src/assets/animations/components.css","0","11","4","0","6","0","0","0","0","36"
"frontend/src/views/DoHomework.vue","10","1","0","2","10","0","1","4","0","29"
"frontend/src/views/student/StudentMyCourses.vue","10","0","0","4","0","0","7","5","0","26"
"frontend/src/views/student/StudentDashboard.vue","3","1","0","9","3","0","0","0","4","25"
"frontend/src/views/Home.vue","6","1","1","1","3","1","6","3","0","24"
"frontend/src/assets/animations/teacher-center.css","0","3","1","0","15","0","0","0","0","23"
"frontend/src/components/student/StudentProfileInfoCard.vue","10","0","0","3","0","0","2","7","0","22"
"frontend/src/assets/animations/core-keyframes.css","0","1","0","0","20","0","0","0","0","22"
"frontend/src/views/student/StudentRecords.vue","8","0","0","8","0","0","0","6","0","22"
"frontend/src/views/teacher/TeacherDashboard.vue","16","0","0","0","1","0","0","4","0","21"
"frontend/src/views/teacher/TeacherProfile.vue","8","0","0","7","0","0","0","4","0","19"
"frontend/src/views/Login.vue","3","1","0","2","7","0","1","4","0","19"
"frontend/src/views/CourseDetail.vue","9","0","0","0","4","0","1","1","0","15"
"frontend/src/components/ui/EmptyState.vue","2","3","0","1","3","0","0","2","0","14"
"frontend/src/views/teacher/TeachingCalendar.vue","4","1","0","0","3","0","4","1","0","14"
"frontend/src/components/ui/SkeletonDashboard.vue","0","1","0","5","1","0","5","0","0","13"
"frontend/src/components/charts/KnowledgeMasteryChart.vue","4","0","0","0","0","0","0","3","2","11"
"frontend/src/views/admin/AdminCourses.vue","3","0","0","0","0","0","7","1","0","11"
"frontend/src/views/student/StudentQuestions.vue","4","0","0","3","0","0","2","2","0","11"
"frontend/src/views/teacher/TeacherCourses.vue","2","0","0","0","0","0","2","7","0","11"
"frontend/src/assets/animations/utilities.css","0","4","0","0","3","0","0","0","0","11"
"frontend/src/views/TeacherCenter.vue","4","0","0","1","2","0","2","1","0","10"
"frontend/src/views/teacher/TeacherHomeworks.vue","1","0","0","1","0","0","2","4","1","10"
"frontend/src/assets/main.css","0","0","0","0","6","4","0","0","0","10"
"frontend/src/views/student/StudentHomeworks.vue","5","0","0","3","0","0","0","1","0","9"
"frontend/src/components/admin/AnnouncementStatsModal.vue","1","0","0","0","1","0","1","2","2","9"
"frontend/src/views/admin/AdminLogs.vue","2","0","0","0","1","0","0","6","0","9"
"frontend/src/components/teacher/StudentDetailModal.vue","1","0","0","0","1","0","0","7","0","9"
"frontend/src/components/student/StudyChapterSidebar.vue","3","0","0","1","4","0","1","0","0","9"
"frontend/src/components/student/StudyChapterInfoCard.vue","1","1","0","0","5","0","0","0","0","8"
